Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Fiscal Year 2023 Budget Request for the United States Forest Service",https://www.congress.gov/event/117th-congress/house-event/114661,117th,"House of Representatives",2022-04-27T18:00:00Z,"House Appropriations"
"Meeting Veterans’ Full Needs: Update on Women’s Health, Mental Health, Homelessness, and Other Programs",https://www.congress.gov/event/117th-congress/house-event/114656,117th,"House of Representatives",2022-04-27T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Government Publishing Office",https://www.congress.gov/event/117th-congress/house-event/114678,117th,"House of Representatives",2022-04-27T15:00:00Z,"House Appropriations"
"National Security Agency and U.S. Cyber Command FY2023 Budget and Posture (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114646,117th,"House of Representatives",2022-04-27T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Department of Homeland Security",https://www.congress.gov/event/117th-congress/house-event/114662,117th,"House of Representatives",2022-04-27T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Library of Congress",https://www.congress.gov/event/117th-congress/house-event/114676,117th,"House of Representatives",2022-04-27T14:00:00Z,"House Appropriations"
"United States Special Operations Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114577,117th,"House of Representatives",2022-04-07T14:00:00Z,"House Appropriations"
"FY2023 Member Day",https://www.congress.gov/event/117th-congress/house-event/114606,117th,"House of Representatives",2022-04-07T13:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the House of Representatives",https://www.congress.gov/event/117th-congress/house-event/114592,117th,"House of Representatives",2022-04-06T18:00:00Z,"House Appropriations"
"DHS Office of Inspector General FY23 Budget Request",https://www.congress.gov/event/117th-congress/house-event/114605,117th,"House of Representatives",2022-04-06T17:30:00Z,"House Appropriations"
"FY2023 Regional Tribal Organizations Public Witness Day",https://www.congress.gov/event/117th-congress/house-event/114603,117th,"House of Representatives",2022-04-06T17:00:00Z,"House Appropriations"
"FY 2023 Department of Veterans Affairs Budget Hearing",https://www.congress.gov/event/117th-congress/house-event/114599,117th,"House of Representatives",2022-04-06T14:30:00Z,"House Appropriations"
"Social and Emotional Learning and Whole Child Approaches in K-12 Education",https://www.congress.gov/event/117th-congress/house-event/114597,117th,"House of Representatives",2022-04-06T14:00:00Z,"House Appropriations"
"U.S. International Assistance to Combat Narcotics Trafficking",https://www.congress.gov/event/117th-congress/house-event/114587,117th,"House of Representatives",2022-04-06T14:00:00Z,"House Appropriations"
"United States Citizenship and Immigration Services FY23 Budget Request",https://www.congress.gov/event/117th-congress/house-event/114604,117th,"House of Representatives",2022-04-06T14:00:00Z,"House Appropriations"
"United States Africa Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114576,117th,"House of Representatives",2022-04-06T13:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Office of Congressional Workplace Rights",https://www.congress.gov/event/117th-congress/house-event/114591,117th,"House of Representatives",2022-04-05T19:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Congressional Budget Office",https://www.congress.gov/event/117th-congress/house-event/114590,117th,"House of Representatives",2022-04-05T17:00:00Z,"House Appropriations"
"FY2023 National Tribal Organizations Public Witness Day",https://www.congress.gov/event/117th-congress/house-event/114602,117th,"House of Representatives",2022-04-05T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Government Accountability Office",https://www.congress.gov/event/117th-congress/house-event/114589,117th,"House of Representatives",2022-04-05T14:00:00Z,"House Appropriations"
"United States Strategic Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114575,117th,"House of Representatives",2022-04-05T14:00:00Z,"House Appropriations"
"Military Privatized Family Housing Oversight",https://www.congress.gov/event/117th-congress/house-event/114538,117th,"House of Representatives",2022-03-31T14:30:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Health and Human Services",https://www.congress.gov/event/117th-congress/house-event/114559,117th,"House of Representatives",2022-03-31T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the United States Capitol Police",https://www.congress.gov/event/117th-congress/house-event/114551,117th,"House of Representatives",2022-03-30T14:30:00Z,"House Appropriations"
"Legislative Branch:
Fiscal Year 2023 Budget Request for the United States Capitol Police",https://www.congress.gov/event/117th-congress/house-event/114547,117th,"House of Representatives",2022-03-30T14:00:00Z,"House Appropriations"
"Oversight: Office of Inspector General, U.S. Department of Agriculture",https://www.congress.gov/event/117th-congress/house-event/114546,117th,"House of Representatives",2022-03-29T13:30:00Z,"House Appropriations"
"United States Southern Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114496,117th,"House of Representatives",2022-03-17T14:00:00Z,"House Appropriations"
"United States Central Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114495,117th,"House of Representatives",2022-03-16T14:30:00Z,"House Appropriations"
"United States European Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114479,117th,"House of Representatives",2022-03-09T15:00:00Z,"House Appropriations"
"Impact of Continuing Resolutions on the Department of Defense and Services",https://www.congress.gov/event/117th-congress/house-event/114316,117th,"House of Representatives",2022-01-12T15:00:00Z,"House Appropriations"
"Security of the Capitol Campus since the Attack of January 6, 2021",https://www.congress.gov/event/117th-congress/house-event/114318,117th,"House of Representatives",2022-01-11T15:00:00Z,"House Appropriations"
